seed,n,naive_proxy,naive_quality,naive_flagged,guarded_proxy,guarded_quality,guarded_utility,coverage
7,1,13.690416666666668,89.82614087301587,0.041666666666666664,12.667391304347825,90.07246376811594,86.31944444444444,0.9583333333333334
7,2,16.982916666666668,84.69419642857143,0.08333333333333333,14.853986013986013,86.99533799533799,86.3912037037037,0.9930555555555556
7,4,23.462083333333332,82.87930277329787,0.18055555555555555,18.15847222222222,85.83564814814815,85.83564814814815,1.0
7,8,32.85777777777778,83.71572175077722,0.3680555555555556,22.14486111111111,91.22453703703704,91.22453703703704,1.0
7,16,44.149166666666666,78.8945146306795,0.6458333333333334,26.051249999999996,91.98544973544973,91.98544973544973,1.0
7,32,56.927638888888886,72.6398257601818,0.9027777777777778,28.13208333333333,94.40674603174604,94.40674603174604,1.0
7,64,69.80666666666667,68.22669629609774,0.9791666666666666,29.739583333333332,89.70171957671957,89.70171957671957,1.0
19,1,16.057361111111113,90.22798553343897,0.06944444444444445,13.223731343283582,92.7189054726368,86.28009259259258,0.9305555555555556
19,2,20.678194444444443,83.914135224797,0.125,15.777202797202794,88.64568764568763,88.03009259259258,0.9930555555555556
19,4,27.33722222222222,79.81461086117949,0.2708333333333333,18.794722222222223,87.51851851851853,87.51851851851853,1.0
19,8,37.02180555555555,80.97448527302113,0.4652777777777778,22.947777777777773,92.93518518518519,92.93518518518519,1.0
19,16,44.535694444444445,77.90011071623881,0.5972222222222222,25.99486111111111,95.24537037037037,95.24537037037037,1.0
19,32,56.64236111111111,78.14421906770654,0.8472222222222222,28.29902777777777,93.95535714285714,93.95535714285714,1.0
19,64,69.38708333333334,71.59639225285189,0.9652777777777778,29.872499999999995,89.78869047619048,89.78869047619048,1.0
42,1,14.837777777777777,91.12644432773111,0.08333333333333333,12.513787878787879,92.6540404040404,84.93287037037037,0.9166666666666666
42,2,19.223888888888887,87.036497237784,0.13194444444444445,14.975833333333334,89.33564814814814,89.33564814814814,1.0
42,4,25.56277777777778,85.57708813744352,0.2222222222222222,17.865555555555556,88.72453703703702,88.72453703703702,1.0
42,8,33.74277777777778,81.39408012784239,0.4236111111111111,21.09972222222222,85.28472222222223,85.28472222222223,1.0
42,16,45.004999999999995,80.1312718302366,0.6666666666666666,25.026666666666667,91.66666666666667,91.66666666666667,1.0
42,32,55.66083333333333,75.43449259909528,0.8402777777777778,27.661249999999995,90.70469576719577,90.70469576719577,1.0
42,64,71.33791666666667,68.12715771560264,0.9930555555555556,29.700416666666666,91.46329365079366,91.46329365079366,1.0
73,1,16.04388888888889,86.1531425070028,0.08333333333333333,13.004393939393939,89.66666666666667,82.19444444444444,0.9166666666666666
73,2,21.508055555555554,82.85489347254052,0.1736111111111111,15.617083333333333,89.31944444444444,89.31944444444444,1.0
73,4,27.581111111111113,83.66978635220703,0.2708333333333333,19.151944444444446,89.79398148148147,89.79398148148147,1.0
73,8,34.824444444444445,82.58800006024916,0.4444444444444444,22.860833333333332,92.3912037037037,92.3912037037037,1.0
73,16,45.66513888888889,80.97436178086332,0.6875,25.914999999999996,94.92592592592592,94.92592592592592,1.0
73,32,57.619305555555556,80.48647926076332,0.8263888888888888,28.230138888888888,93.51388888888889,93.51388888888889,1.0
73,64,70.71194444444444,72.45848639938875,0.9583333333333334,29.927222222222227,90.90542328042328,90.90542328042328,1.0
101,1,14.497361111111111,86.80137067453244,0.09027777777777778,12.304274809160304,89.6030534351145,81.51388888888889,0.9097222222222222
101,2,19.09472222222222,83.26234951051127,0.16666666666666666,14.78597222222222,88.27777777777777,88.27777777777777,1.0
101,4,25.527083333333334,79.75492038145224,0.2847222222222222,17.707638888888887,87.06944444444444,87.06944444444444,1.0
101,8,33.32527777777778,79.16853006265416,0.4236111111111111,21.681527777777777,89.61574074074073,89.61574074074073,1.0
101,16,43.168194444444445,80.25737176516009,0.6111111111111112,25.359305555555554,91.59424603174602,91.59424603174602,1.0
101,32,57.48875000000001,76.18583701312352,0.8541666666666666,27.44763888888889,94.59887566137566,94.59887566137566,1.0
101,64,70.5448611111111,70.66933503420861,0.9861111111111112,29.122500000000002,93.04100529100529,93.04100529100529,1.0
